time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1653253200,2.616,2.643,2.591,2.625,53.45317377692901,55.67805739975768,NaN,NaN
1653339600,2.625,2.631,2.464,2.485,45.04431508791079,54.65836249757508,NaN,NaN
1653426000,2.481,2.538,2.468,2.498,45.89544795879653,53.49525783214825,NaN,NaN
1653512400,2.498,2.522,2.438,2.482,44.97225867997492,52.17926475639333,NaN,NaN
1653598800,2.482,2.5,2.452,2.484,45.12086015877891,51.54273121552334,NaN,NaN
1653858000,2.5,2.596813,2.5,2.572588,51.38346528275384,51.30386273527758,NaN,NaN
1653944400,2.572588,2.589,2.524,2.563,50.708983154124546,50.88334974465723,NaN,NaN
1654030800,2.561,2.676,2.561,2.648,56.1982473021358,51.21743904669716,NaN,NaN
1654117200,2.648,2.668,2.626,2.634,55.10964866060082,51.40580404513248,NaN,NaN
1654203600,2.638,2.689,2.63,2.659,56.72181808889293,51.73707874384767,NaN,NaN
1654462800,2.667,2.736,2.655,2.732,61.11343813319095,51.86134950729116,NaN,NaN
1654549200,2.734,2.759,2.696,2.733,61.17156373660176,52.18611589506089,NaN,NaN
1654635600,2.733,2.782,2.733,2.774,63.57553695895425,52.964033373182076,NaN,NaN
1654722000,2.776,2.842,2.77,2.815,65.85233948092656,54.02293546146938,NaN,NaN
1654808400,2.815,3.071,2.813,3.067,75.84596813690506,55.62242077289624,NaN,NaN
1655067600,3.137,3.417,3.124,3.36,82.32350802496276,58.285220268399954,NaN,NaN
1655154000,3.365,3.454,3.23,3.437,83.57047047716112,60.976293305426,NaN,NaN
1655240400,3.405,3.441,3.195,3.197,67.57048667818243,62.5904524481551,NaN,NaN
1655326800,3.201,3.398,3.085,3.1,62.372832965378755,63.82273622005509,NaN,NaN
1655413200,3.097,3.214,3.084,3.185,64.91936757933416,64.78958638409654,NaN,NaN
1655672400,3.168012,3.243883,3.168012,3.235446,66.37387961438469,65.9085075598294,NaN,NaN
1655758800,3.235446,3.255,3.175,3.201,64.41006543943077,66.49506599820762,NaN,NaN
1655845200,3.194,3.216,3.037,3.062,57.071919375538215,66.63522819213172,NaN,NaN
1655931600,3.066,3.099,2.876,3.023,55.172631481480344,66.52457200588796,NaN,NaN
1656018000,3.023,3.091,2.951,3.07,57.02858014687766,66.23279643543701,NaN,NaN
1656277200,3.07,3.155,3.055,3.125,59.15948211164875,66.08907631936894,NaN,NaN
1656363600,3.128,3.154,3.081,3.114,58.53429667974725,65.72898772799702,NaN,NaN
1656450000,3.112,3.136,3.041,3.043,54.528762218933174,64.92016078071178,NaN,NaN
1656536400,3.041,3.055,2.921,2.957,50.06020354256577,63.07832045254469,NaN,NaN
1656622800,2.959,2.959,2.955,2.955,49.957671351073095,60.766474975838285,NaN,NaN
